_id,DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES
330336.0,2020-01-07T02:00:00,29.2071533203125,40.9762573242188,sxkc0e,90,12,52,17
332230.0,2020-01-07T03:00:00,29.2071533203125,40.9762573242188,sxkc0e,82,20,55,16
334615.0,2020-01-07T04:00:00,29.2071533203125,40.9762573242188,sxkc0e,99,27,54,18
336776.0,2020-01-07T05:00:00,29.2071533203125,40.9762573242188,sxkc0e,106,15,56,47
338414.0,2020-01-07T06:00:00,29.2071533203125,40.9762573242188,sxkc0e,110,8,55,162
341659.0,2020-01-07T07:00:00,29.2071533203125,40.9762573242188,sxkc0e,100,6,42,224
343767.0,2020-01-07T08:00:00,29.2071533203125,40.9762573242188,sxkc0e,109,6,42,198
345368.0,2020-01-07T09:00:00,29.2071533203125,40.9762573242188,sxkc0e,116,6,46,176
349453.0,2020-01-07T10:00:00,29.2071533203125,40.9762573242188,sxkc0e,121,7,50,163
350438.0,2020-01-07T11:00:00,29.2071533203125,40.9762573242188,sxkc0e,103,6,50,164
352953.0,2020-01-07T12:00:00,29.2071533203125,40.9762573242188,sxkc0e,105,6,52,140
356606.0,2020-01-07T13:00:00,29.2071533203125,40.9762573242188,sxkc0e,96,6,48,121
357494.0,2020-01-07T14:00:00,29.2071533203125,40.9762573242188,sxkc0e,111,7,46,146
359354.0,2020-01-07T15:00:00,29.2071533203125,40.9762573242188,sxkc0e,121,7,48,93
361561.0,2020-01-07T16:00:00,29.2071533203125,40.9762573242188,sxkc0e,96,6,49,85
364783.0,2020-01-07T17:00:00,29.2071533203125,40.9762573242188,sxkc0e,88,7,45,107
367785.0,2020-01-07T18:00:00,29.2071533203125,40.9762573242188,sxkc0e,91,6,38,117
369410.0,2020-01-07T19:00:00,29.2071533203125,40.9762573242188,sxkc0e,109,6,47,122
370876.0,2020-01-07T20:00:00,29.2071533203125,40.9762573242188,sxkc0e,119,8,56,124
374784.0,2020-01-07T21:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,7,61,101
376184.0,2020-01-07T22:00:00,29.2071533203125,40.9762573242188,sxkc0e,119,9,55,69
377571.0,2020-01-07T23:00:00,29.2071533203125,40.9762573242188,sxkc0e,116,6,62,61
381657.0,2020-01-08T00:00:00,29.2071533203125,40.9762573242188,sxkc0e,111,15,62,44
382614.0,2020-01-08T01:00:00,29.2071533203125,40.9762573242188,sxkc0e,106,12,56,32
384545.0,2020-01-08T02:00:00,29.2071533203125,40.9762573242188,sxkc0e,106,26,56,14
387677.0,2020-01-08T03:00:00,29.2071533203125,40.9762573242188,sxkc0e,103,23,53,20
389734.0,2020-01-08T04:00:00,29.2071533203125,40.9762573242188,sxkc0e,102,30,69,23
390337.0,2020-01-08T05:00:00,29.2071533203125,40.9762573242188,sxkc0e,93,16,55,41
392985.0,2020-01-08T06:00:00,29.2071533203125,40.9762573242188,sxkc0e,106,7,58,121
396516.0,2020-01-08T07:00:00,29.2071533203125,40.9762573242188,sxkc0e,96,7,41,150
398365.0,2020-01-08T08:00:00,29.2071533203125,40.9762573242188,sxkc0e,101,6,43,95
400013.0,2020-01-08T09:00:00,29.2071533203125,40.9762573242188,sxkc0e,105,7,45,119
403145.0,2020-01-08T10:00:00,29.2071533203125,40.9762573242188,sxkc0e,107,6,50,113
405041.0,2020-01-08T11:00:00,29.2071533203125,40.9762573242188,sxkc0e,109,9,51,86
406150.0,2020-01-08T12:00:00,29.2071533203125,40.9762573242188,sxkc0e,121,8,57,93
408416.0,2020-01-08T13:00:00,29.2071533203125,40.9762573242188,sxkc0e,109,7,56,98
410932.0,2020-01-08T14:00:00,29.2071533203125,40.9762573242188,sxkc0e,108,7,50,117
413159.0,2020-01-08T15:00:00,29.2071533203125,40.9762573242188,sxkc0e,109,6,54,83
417238.0,2020-01-08T16:00:00,29.2071533203125,40.9762573242188,sxkc0e,110,8,47,84
418250.0,2020-01-08T17:00:00,29.2071533203125,40.9762573242188,sxkc0e,105,6,45,113
420310.0,2020-01-08T18:00:00,29.2071533203125,40.9762573242188,sxkc0e,97,6,40,122
422334.0,2020-01-08T19:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,6,51,146
424978.0,2020-01-08T20:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,10,61,82
428524.0,2020-01-08T21:00:00,29.2071533203125,40.9762573242188,sxkc0e,118,10,59,102
430161.0,2020-01-08T22:00:00,29.2071533203125,40.9762573242188,sxkc0e,120,6,57,58
433278.0,2020-01-08T23:00:00,29.2071533203125,40.9762573242188,sxkc0e,110,10,62,54
434829.0,2020-01-09T00:00:00,29.2071533203125,40.9762573242188,sxkc0e,108,19,58,45
436319.0,2020-01-09T01:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,14,58,32
439459.0,2020-01-09T02:00:00,29.2071533203125,40.9762573242188,sxkc0e,100,40,66,14
441811.0,2020-01-09T03:00:00,29.2071533203125,40.9762573242188,sxkc0e,97,32,63,17
443750.0,2020-01-09T04:00:00,29.2071533203125,40.9762573242188,sxkc0e,94,13,53,17
444663.0,2020-01-09T05:00:00,29.2071533203125,40.9762573242188,sxkc0e,114,19,60,53
448177.0,2020-01-09T06:00:00,29.2071533203125,40.9762573242188,sxkc0e,117,8,57,98
450625.0,2020-01-09T07:00:00,29.2071533203125,40.9762573242188,sxkc0e,111,8,48,125
452825.0,2020-01-09T08:00:00,29.2071533203125,40.9762573242188,sxkc0e,104,6,45,153
454742.0,2020-01-09T09:00:00,29.2071533203125,40.9762573242188,sxkc0e,103,6,49,140
457187.0,2020-01-09T10:00:00,29.2071533203125,40.9762573242188,sxkc0e,108,6,52,136
457840.0,2020-01-09T11:00:00,29.2071533203125,40.9762573242188,sxkc0e,121,6,53,132
461649.0,2020-01-09T12:00:00,29.2071533203125,40.9762573242188,sxkc0e,118,6,54,137
463973.0,2020-01-09T13:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,8,56,145
464782.0,2020-01-09T14:00:00,29.2071533203125,40.9762573242188,sxkc0e,144,6,56,133
467438.0,2020-01-09T15:00:00,29.2071533203125,40.9762573242188,sxkc0e,126,6,54,121
469652.0,2020-01-09T16:00:00,29.2071533203125,40.9762573242188,sxkc0e,117,8,53,128
472411.0,2020-01-09T17:00:00,29.2071533203125,40.9762573242188,sxkc0e,103,6,45,156
475130.0,2020-01-09T18:00:00,29.2071533203125,40.9762573242188,sxkc0e,97,6,44,142
